time,total,signal
107,1245.427831555673,
108,1255.492111921286,
109,1243.9786956541352,
110,1243.9786956541352,
111,1242.7353386369898,
112,1255.6880877320189,
113,1249.3933651236289,
114,1252.5919325173568,
115,1244.3864889721826,
116,1252.7272648956923,
117,1260.6013187694668,
118,1267.7561787064067,
119,1267.7561787064067,
120,1267.7561787064067,
121,1267.7561787064067,
122,1267.7561787064067,
123,1267.7561787064067,
124,1267.7561787064067,
125,1267.7561787064067,
126,1266.4890560890092,
127,1269.6232167056314,
128,1268.1574357735005,
129,1258.5569123067937,
130,1266.9326562576923,
131,1268.9332404209417,
132,1262.6856078936046,
133,1266.6037489733578,
134,1275.1039398647347,
135,1271.1231755332037,
136,1273.6514084306568,
137,1275.7662601219688,
138,1281.094286998387,
139,1280.4142997549197,
140,1285.3831681659394,
141,1289.3676373581175,
142,1302.7921130098925,
143,1302.7921130098925,
144,1301.489971967404,
145,1303.9131146251991,
146,1309.8284482460426,
147,1324.4999027304004,
148,1323.851550615617,
149,1320.2847748927825,
150,1339.3192595608555,
151,1337.9806096262619,
152,1338.9393461246652,
153,1344.7154020315363,
154,1351.8638355051423,
155,1359.5256261030265,
156,1334.536450008678,
157,1339.601897805949,
158,1339.0183279114005,
159,1335.569858753616,
160,1345.5711874180306,
161,1338.309188239763,
162,1342.027928656137,
163,1337.6168940867774,
164,1330.072231779125,
165,1336.3924195894665,
166,1341.1565814254093,
167,1343.5901000753363,
168,1349.9685185991882,
169,1352.0914228877418,
170,1352.4539934565773,
171,1348.350521830841,
172,1346.3922575229726,
173,1360.9626442088318,
174,1359.8749022192244,
175,1360.623763259664,
176,1363.411995660901,
177,1370.178249274425,
178,1370.178249274425,
179,1370.178249274425,
180,1370.178249274425,
181,1368.8087557719018,
182,1368.3734109604595,
183,1376.1425335536203,
184,1374.0339715093262,
185,1378.175932751164,
186,1377.6901069677574,
187,1371.4072696397775,
188,1389.1822750793283,
189,1369.2085127788487,
190,1366.1046761222544,
191,1338.6500184337633,
192,1350.701627741422,
193,1349.9114677708117,
194,1349.9114677708117,
195,1348.5622309214657,
196,1353.285250543929,
197,1366.4510503120975,
198,1369.9910975686803,
199,1368.2648397689547,
200,1348.111616866588,
201,1369.6817666468153,
202,1374.2503890301664,
203,1374.3148634877716,
204,1368.1703865284196,
205,1371.8199722474267,
206,1357.140553410547,
207,1369.7134417308969,
208,1369.8784062744348,
209,1374.989490215399,
