ts,datetime_utc,close,ema,rsi,atr,obv,label
1686358800,2023-06-10 01:00:00,1836.107778186734,1831.358788607478,50.02,38.28880709093736,104716.40623099999,1826.5372714053156
1686362400,2023-06-10 02:00:00,1827.780928793264,1830.8817406322494,45.65,36.15337696243623,-42844.57858300001,1788.3099525077052
1686366000,2023-06-10 03:00:00,1826.5372714053156,1830.3024780686583,45.02,33.87129438183579,-123697.316015,1735.5136336318221
1686369600,2023-06-10 04:00:00,1788.3099525077052,1824.7034746605311,30.87,35.01157707427425,-476107.70907599997,1685.1053574163595
1686373200,2023-06-10 05:00:00,1735.5136336318221,1812.8114958567032,21.04,36.935610204114134,-685205.726693,1729.0460094291584
1686376800,2023-06-10 06:00:00,1685.1053574163595,1795.784010731324,15.85,58.10536862712539,-1156001.698518,1728.2811556075994
1686380400,2023-06-10 07:00:00,1729.0460094291584,1786.885610557702,31.67,59.80682938578736,-846960.005771,1709.1189978085438
1686384000,2023-06-10 08:00:00,1728.2811556075994,1779.0716832310216,31.56,59.17200440153614,-1062584.482911,1730.0634441101356
1686387600,2023-06-10 09:00:00,1709.1189978085438,1769.7446585080245,28.83,61.39735246225774,-1424286.423009,1738.4893727448482
1686391200,2023-06-10 10:00:00,1730.0634441101356,1764.4538299216392,35.41,58.52924268334086,-1234258.270769,1728.1327010736939
1686394800,2023-06-10 11:00:00,1738.4893727448482,1760.991902298067,37.9,55.75766137337653,-1076474.522994,1739.1465899684763
1686398400,2023-06-10 12:00:00,1728.1327010736939,1756.6106754681507,36.06,52.538604062095274,-1180160.128387,1740.8118613887925
1686402000,2023-06-10 13:00:00,1739.1465899684763,1754.2821307348609,39.43,55.54496359289777,-588666.6476039999,1734.3226124735309
1686405600,2023-06-10 14:00:00,1740.8118613887925,1752.4860948220517,39.94,52.01502686387969,-365402.63713799993,1733.8820472793923
1686409200,2023-06-10 15:00:00,1734.3226124735309,1750.0642971755822,38.57,49.33008445454722,-716568.768693,1758.2495458662931
1686412800,2023-06-10 16:00:00,1733.8820472793923,1747.9066638560903,38.47,46.11683604610773,-962169.667901,1733.906973800973
1686416400,2023-06-10 17:00:00,1758.2495458662931,1749.285714790784,46.48,45.99098180996247,13826.212694999995,1742.9769780246004
1686420000,2023-06-10 18:00:00,1733.906973800973,1747.2352159921425,40.77,44.75326800676686,-729582.126551,1742.3211064780164
1686423600,2023-06-10 19:00:00,1742.9769780246004,1746.6674509298034,43.55,42.271830993676716,-463652.03265700006,1743.149888538443
1686427200,2023-06-10 20:00:00,1742.3211064780164,1746.087938336232,43.39,39.71240347733411,-730669.1227490001,1752.2916426998152
1686430800,2023-06-10 21:00:00,1743.149888538443,1745.6961983631934,43.67,37.101075089002364,-639195.2360280001,1751.3319912107138
1686434400,2023-06-10 22:00:00,1752.2916426998152,1746.5755909414097,46.79,35.243708259620576,-425736.89100900013,1747.3723380632234
1686438000,2023-06-10 23:00:00,1751.3319912107138,1747.2097776439837,46.5,32.80243443706774,-439906.4599570001,1749.38775925633
1686441600,2023-06-11 00:00:00,1747.3723380632234,1747.2314523665489,45.25,30.74281051165708,-572602.0621510001,1747.8824785406794
1686445200,2023-06-11 01:00:00,1749.38775925633,1747.518959951853,46.04,28.817843992041183,-471030.88536800013,1750.0880006721918
1686448800,2023-06-11 02:00:00,1747.8824785406794,1747.5674290970298,45.51,26.95653597048204,-544161.8653820001,1754.120016278559
1686452400,2023-06-11 03:00:00,1750.0880006721918,1747.9035053070515,46.49,25.190417565895608,-494644.2790290001,1756.0815933232452
1686456000,2023-06-11 04:00:00,1754.120016278559,1748.732373436586,48.31,23.96066788625282,-301478.38480600005,1756.3416161738426
1686459600,2023-06-11 05:00:00,1756.0815933232452,1749.7122694214738,49.21,22.650947824997882,-132222.71629800004,1753.3929071420494
1686463200,2023-06-11 06:00:00,1756.3416161738426,1750.5961823217897,49.34,21.115247219223157,-105733.37521300005,1749.2358950030775
1686466800,2023-06-11 07:00:00,1753.3929071420494,1750.969078964491,47.88,19.818690853921616,-196671.48657800007,1745.3956653042505
1686470400,2023-06-11 08:00:00,1749.2358950030775,1750.737987769636,45.82,18.72315563115745,-269566.91325300006,1751.7678236106397
1686474000,2023-06-11 09:00:00,1745.3956653042505,1750.0256781075846,43.95,17.66647294384653,-349572.6616120001,1750.2167570520098
1686477600,2023-06-11 10:00:00,1751.7678236106397,1750.2579641746586,47.77,16.866881008258584,-238675.86471700008,1746.3930420024599
1686481200,2023-06-11 11:00:00,1750.2167570520098,1750.2524698916388,46.93,16.070800090060853,-414645.4672390001,1741.001611271055
1686484800,2023-06-11 12:00:00,1746.3930420024599,1749.737879506415,44.84,15.213316658175891,-510186.9897370001,1742.8698084714988
1686488400,2023-06-11 13:00:00,1741.001611271055,1748.5730437417003,42,14.56678489200731,-658940.5077980001,1740.9117719923208
1686492000,2023-06-11 14:00:00,1742.8698084714988,1747.81261237234,43.34,13.996741901718366,-402959.73928900016,1752.46462271638
1686495600,2023-06-11 15:00:00,1740.9117719923208,1746.8925003216707,42.24,13.195282143105846,-474554.0436350002,1754.5915108951576
1686499200,2023-06-11 16:00:00,1752.46462271638,1747.6354499742986,50.27,13.159570338381911,-1470.502602000197,1757.7376058770076
1686502800,2023-06-11 17:00:00,1754.5915108951576,1748.5629247637464,51.6,12.852243953977194,334840.3692819998,1763.2070439336578
1686506400,2023-06-11 18:00:00,1757.7376058770076,1749.786215578848,53.59,12.252057776480024,521542.47925399983,1770.2821881761606
1686510000,2023-06-11 19:00:00,1763.2070439336578,1751.5756593594892,56.9,11.933339200178398,791959.8520459998,1764.5689867000253
1686513600,2023-06-11 20:00:00,1770.2821881761606,1754.069863201712,60.79,11.789266681580422,1147890.4344509998,1753.8048310559852
1686517200,2023-06-11 21:00:00,1764.5689867000253,1755.4697463348205,56.36,11.355522123965756,1016669.4756819998,1751.8917450150202
1686520800,2023-06-11 22:00:00,1753.8048310559852,1755.2477576309757,49.11,11.51112879155116,623929.4670839999,1753.4495904488958
1686524400,2023-06-11 23:00:00,1751.8917450150202,1754.8002892821817,47.92,11.105615283010366,332691.9831249999,1745.141155589888
1686528000,2023-06-12 00:00:00,1753.4495904488958,1754.6201961044103,49,10.729220808713226,708706.3899949999,1732.4157926212727
1686531600,2023-06-12 01:00:00,1745.141155589888,1753.3563240358073,43.8,10.833105125167295,177189.4328219999,1735.6326551311151
1686535200,2023-06-12 02:00:00,1732.4157926212727,1750.564253180536,37.28,11.77453703965418,-1112033.637641,1737.9535396563538
1686538800,2023-06-12 03:00:00,1735.6326551311151,1748.5733734406133,39.73,11.28572723403877,-901598.3478660001,1735.9114421466415
1686542400,2023-06-12 04:00:00,1737.9535396563538,1747.157395602712,41.5,10.851654913721436,-582970.1210810002,1740.487618345007
1686546000,2023-06-12 05:00:00,1735.9114421466415,1745.6579351419027,40.37,10.248509646123983,-665716.7370200002,1735.782881433821
1686549600,2023-06-12 06:00:00,1740.487618345007,1744.9685595689832,44.03,10.11819170825742,-346931.1053230002,1742.997629132581
1686553200,2023-06-12 07:00:00,1735.782881433821,1743.743802484295,41.23,9.80652162185112,-536303.0482500002,1748.7677342296658
1686556800,2023-06-12 08:00:00,1742.997629132581,1743.6443127040664,46.82,9.717588193196862,-199128.4466010002,1749.469473199264
1686560400,2023-06-12 09:00:00,1748.7677342296658,1744.3274355741462,50.84,9.853972574042498,460305.42772099975,1746.030848085312
1686564000,2023-06-12 10:00:00,1749.469473199264,1745.0130405908285,51.32,9.397791691814996,673757.4850869997,1744.7860818459767
1686567600,2023-06-12 11:00:00,1746.030848085312,1745.1487482567597,48.8,9.18105678181071,416599.2496379997,1739.3455194925075
1686571200,2023-06-12 12:00:00,1744.7860818459767,1745.100392735322,47.88,8.889301210847002,138058.00794699969,1736.0388128178513
1686574800,2023-06-12 13:00:00,1739.3455194925075,1744.3330763029467,43.98,8.763812919935809,-256991.2017040003,1732.437589798273
1686578400,2023-06-12 14:00:00,1736.0388128178513,1743.227174504934,41.75,8.904084011306784,-888430.3992780002,1735.4739065555489
1686582000,2023-06-12 15:00:00,1732.437589798273,1741.7885632107125,39.41,8.596003704158846,-1518481.854681,1737.0398805936688
1686585600,2023-06-12 16:00:00,1735.4739065555489,1740.946608990024,42.35,8.481130999070427,-1123477.1662100002,1735.6588240980986
1686589200,2023-06-12 17:00:00,1737.0398805936688,1740.42571187051,43.86,9.309348793470345,275358.70818099985,1732.5563746159255
1686592800,2023-06-12 18:00:00,1735.6588240980986,1739.7901268341884,42.79,9.026981888132976,-261145.6470300001,1735.895381367147
1686596400,2023-06-12 19:00:00,1732.5563746159255,1738.82562653842,40.42,8.900794762897835,-593121.7130310001,1740.4161820781158
1686600000,2023-06-12 20:00:00,1735.895381367147,1738.4349271822502,44.02,8.616342799354495,-351890.8235490001,1741.6267849642609
1686603600,2023-06-12 21:00:00,1740.4161820781158,1738.699094501699,48.55,8.338328462787484,-39165.34285500005,1741.236488481169
1686607200,2023-06-12 22:00:00,1741.6267849642609,1739.0894532300406,49.72,8.018273968274794,233927.72330299992,1732.1646946281664
1686610800,2023-06-12 23:00:00,1741.236488481169,1739.3757245968577,49.33,7.5188429849179395,151173.4261279999,1738.9549269145532
1686614400,2023-06-13 00:00:00,1732.1646946281664,1738.4142539343654,41.22,8.082417451577363,-647351.1842110001,1751.2628065551064
1686618000,2023-06-13 01:00:00,1738.9549269145532,1738.4863436650571,48.1,8.48074751215384,201490.70562299993,1747.3380844742558
1686621600,2023-06-13 02:00:00,1751.2628065551064,1740.189872050397,57.75,8.856943849726571,884203.7716049999,1745.6198388656464
1686625200,2023-06-13 03:00:00,1747.3380844742558,1741.142967040245,54.28,8.576660791413794,628987.2872769999,1748.1722192967782
1686628800,2023-06-13 04:00:00,1745.6198388656464,1741.7398832836318,52.79,8.349516011957377,160027.6005699999,1747.806680102486
1686632400,2023-06-13 05:00:00,1748.1722192967782,1742.5975280853847,54.78,8.014608294190527,394665.0351849999,1748.237057119161
1686636000,2023-06-13 06:00:00,1747.806680102486,1743.292081687665,54.42,7.631935665683366,233647.94528899994,1752.9243070469195
1686639600,2023-06-13 07:00:00,1748.237057119161,1743.9514117451977,54.79,7.239940596155696,376582.1070689999,1749.0601468657849
1686643200,2023-06-13 08:00:00,1752.9243070469195,1745.1477977854272,58.73,7.35624453564414,941692.3210139999,1750.4333588001796
1686646800,2023-06-13 09:00:00,1749.0601468657849,1745.6694443294748,54.52,7.192894554733137,651072.8051569998,1752.5860775110366
1686650400,2023-06-13 10:00:00,1750.4333588001796,1746.3046329255687,55.73,6.943808815734467,943721.1698249999,1741.4775911585778
1686654000,2023-06-13 11:00:00,1752.5860775110366,1747.1421588702979,57.64,6.866780875026381,1429673.124287,1739.915504376521
1686657600,2023-06-13 12:00:00,1741.4775911585778,1746.3868831754019,46.49,8.558647140396712,-2083709.778421,1739.2558183882563
1686661200,2023-06-13 13:00:00,1739.915504376521,1745.5240326688845,45.17,8.527913253182529,-3150272.450134,1729.6778533390163
1686664800,2023-06-13 14:00:00,1739.2558183882563,1744.6882707648008,44.59,8.340835240202146,-3856991.145112,1737.0536418807003
1686668400,2023-06-13 15:00:00,1729.6778533390163,1742.6868817746963,37.17,8.607773345742096,-5206986.921974,1735.4952289990504
1686672000,2023-06-13 16:00:00,1737.0536418807003,1741.9357831221635,44.79,8.629090683116104,-4498283.616505,1740.3752167554985
1686675600,2023-06-13 17:00:00,1735.4952289990504,1741.077042572415,43.59,8.247861236155904,-4685208.733587,1739.9842148472367
1686679200,2023-06-13 18:00:00,1740.3752167554985,1740.983465796826,48.27,8.495731341399866,-3870308.2486079996,1738.7254061273352
1686682800,2023-06-13 19:00:00,1739.9842148472367,1740.8502323368807,47.93,8.093495138977405,-4074927.7649079994,1738.5276263628105
1686686400,2023-06-13 20:00:00,1738.7254061273352,1740.566922175608,46.78,7.8770989254051536,-4620130.492841,1734.6921955984292
1686690000,2023-06-13 21:00:00,1738.5276263628105,1740.2950160672349,46.59,7.432173299574379,-4738497.188464,1738.0727055851346
1686693600,2023-06-13 22:00:00,1734.6921955984292,1739.5479733380607,42.95,7.2080393717111715,-4900289.516442,1742.8805433792563
1686697200,2023-06-13 23:00:00,1738.0727055851346,1739.351270971004,46.89,6.934649999045756,-4784296.233465,1744.9330418598854
1686700800,2023-06-14 00:00:00,1742.8805433792563,1739.8218406254375,51.97,6.8693348825125256,-4415503.561901,1744.6898646316442
1686704400,2023-06-14 01:00:00,1744.9330418598854,1740.5033341233639,53.99,6.6072504309154585,-4225799.203923,1744.2865071145902
1686708000,2023-06-14 02:00:00,1744.6898646316442,1741.0615381911346,53.7,6.237546816408061,-4328451.576303,1742.6225365406415
1686711600,2023-06-14 03:00:00,1744.2865071145902,1741.4915340475952,53.19,5.91764034454717,-4454315.645965,1738.0721515754972
1686715200,2023-06-14 04:00:00,1742.6225365406415,1741.6423343800013,51.05,5.653179627352454,-4653116.279393,1740.076443445734
1686718800,2023-06-14 05:00:00,1738.0721515754972,1741.1663100060675,45.63,5.574408580051872,-4847878.7989839995,1740.3101273322686
1686722400,2023-06-14 06:00:00,1740.076443445734,1741.0209944646897,48.24,5.31979496688415,-4783478.860021999,1744.1012627857401
1686726000,2023-06-14 07:00:00,1740.3101273322686,1740.926212180367,48.55,5.047989027859914,-4669972.858239999,1744.2881979523777
1686729600,2023-06-14 08:00:00,1744.1012627857401,1741.3495522610833,53.41,4.964310584180004,-4494340.050392999,1745.2495142917874
1686733200,2023-06-14 09:00:00,1744.2881979523777,1741.7413716865892,53.65,4.684312549477663,-4418111.365739999,1745.5206362163915
1686736800,2023-06-14 10:00:00,1745.2495142917874,1742.209124033949,54.9,4.42515250590119,-4349037.560814999,1745.1304622477137
1686740400,2023-06-14 11:00:00,1745.5206362163915,1742.650658991608,55.26,4.284508652733525,-4160511.650859999,1740.7310593956875
1686744000,2023-06-14 12:00:00,1745.1304622477137,1742.9812994257554,54.58,4.186488025404669,-4554564.891840999,1741.7099842898122
1686747600,2023-06-14 13:00:00,1740.7310593956875,1742.6812674217463,47.42,4.340028013615582,-5009436.968364999,1739.3877657068522
1686751200,2023-06-14 14:00:00,1741.7099842898122,1742.551763004155,49.02,4.172652838525928,-4847160.674768998,1737.7727369702561
1686754800,2023-06-14 15:00:00,1739.3877657068522,1742.129896697848,45.48,4.181421309276485,-5111740.406404998,1741.279960386668
1686758400,2023-06-14 16:00:00,1737.7727369702561,1741.5489420675024,43.15,4.103649001643195,-5479609.147151998,1733.9010720935787
1686762000,2023-06-14 17:00:00,1741.279960386668,1741.513077843391,49.24,4.484041680248643,-4631917.795927999,1729.1450596536224
1686765600,2023-06-14 18:00:00,1733.9010720935787,1740.4981437434162,39.62,5.6215676013458085,-8037831.213026999,1637.7056454145418
1686769200,2023-06-14 19:00:00,1729.1450596536224,1738.9843991981104,34.89,5.935871006187211,-9171663.652615998,1654.302683726575
1686772800,2023-06-14 20:00:00,1637.7056454145418,1725.4805653603012,10.05,12.540752962335134,-13327374.936668998,1648.906569175135
1686776400,2023-06-14 21:00:00,1654.302683726575,1715.990181142471,21.04,13.295429075583739,-12541212.163555998,1649.8101130255486
1686780000,2023-06-14 22:00:00,1648.906569175135,1707.0456995468262,20.18,12.818042321126827,-12818961.532068,1653.8607335580139
1686783600,2023-06-14 23:00:00,1649.8101130255486,1699.4142880106558,20.76,12.34215994551694,-12579958.711617999,1647.6659105866863
1686787200,2023-06-15 00:00:00,1653.8607335580139,1693.3404807503036,23.48,11.7634350584354,-12445349.839221999,1649.2463907763665
1686790800,2023-06-15 01:00:00,1647.6659105866863,1687.2505380618213,22.22,11.647158723422905,-12610486.166117,1651.135852593473
1686794400,2023-06-15 02:00:00,1649.2463907763665,1682.1833184237607,23.35,11.112084160735437,-12490112.800657,1648.4436097935413
1686798000,2023-06-15 03:00:00,1651.135852593473,1678.0436563130556,24.75,10.580065758699181,-12357596.831918001,1643.8806050818403
1686801600,2023-06-15 04:00:00,1648.4436097935413,1674.0969834437872,24.07,12.684720010586712,-12957900.789036002,1633.8777729071655
1686805200,2023-06-15 05:00:00,1643.8806050818403,1670.0681329955275,22.93,12.391209628774112,-13448109.371578002,1635.138556483125
1686808800,2023-06-15 06:00:00,1633.8777729071655,1665.2427516504126,20.62,12.43786971560018,-14213527.668964002,1634.0438187409898
1686812400,2023-06-15 07:00:00,1635.138556483125,1661.228858961441,21.69,12.216255026114174,-13642848.861215003,1632.257566078978
1686816000,2023-06-15 08:00:00,1634.0438187409898,1657.6041869320475,21.42,11.689803624203769,-13899451.642412003,1632.4649129127433
1686819600,2023-06-15 09:00:00,1632.257566078978,1654.2246374849715,20.96,11.626967389133299,-14329100.894635003,1639.7601729497085
1686823200,2023-06-15 10:00:00,1632.4649129127433,1651.323340875341,21.18,11.39770316045685,-13812264.921477003,1636.7825086331068
1686826800,2023-06-15 11:00:00,1639.7601729497085,1649.7815851519233,28.41,11.419700332211386,-13228336.553498004,1644.9483500906122
1686830400,2023-06-15 12:00:00,1636.7825086331068,1648.0483749494144,27.31,11.04581347850693,-13948452.436693003,1642.1405045973268
1686834000,2023-06-15 13:00:00,1644.9483500906122,1647.6350383015742,34.78,11.02068968187626,-13384361.984785004,1641.098551350174
1686837600,2023-06-15 14:00:00,1642.1405045973268,1646.9024338076745,33.51,10.53482320490141,-13708144.580306003,1637.901886933046
1686841200,2023-06-15 15:00:00,1641.098551350174,1646.1285828133412,33.02,10.007977124844167,-14043414.499513002,1646.0645919288652
1686844800,2023-06-15 16:00:00,1637.901886933046,1645.031690029302,31.52,9.642795479025201,-14418574.196199002,1663.8399060214376
1686848400,2023-06-15 17:00:00,1646.0645919288652,1645.169410282577,39.14,9.858127165122088,-13713679.981406001,1665.817030635717
1686852000,2023-06-15 18:00:00,1663.8399060214376,1647.6588097144252,51.74,10.434426273424508,-12517653.467574,1666.1496104248686
1686855600,2023-06-15 19:00:00,1665.817030635717,1650.079905837264,52.91,10.14645600787114,-11526120.026641,1665.9062635580976
1686859200,2023-06-15 20:00:00,1666.1496104248686,1652.2225331156112,53.11,10.333557305736601,-10475434.410377,1664.3044044613252
1686862800,2023-06-15 21:00:00,1665.9062635580976,1654.0470305079427,52.93,10.242889947147635,-12201299.313612,1664.747111338333
1686866400,2023-06-15 22:00:00,1664.3044044613252,1655.4146803683936,51.68,9.648397288498384,-12604601.255330998,1661.7408790536597
1686870000,2023-06-15 23:00:00,1664.747111338333,1656.6590044977188,52.01,9.139526741012071,-12400963.089537999,1662.4746386100644
1686873600,2023-06-16 00:00:00,1661.7408790536597,1657.3365877718443,49.48,8.785573279424074,-12789141.302314999,1663.1241827896522
1686877200,2023-06-16 01:00:00,1662.4746386100644,1658.0216612169404,50.12,8.441382476764545,-12544018.667097999,1665.9075712846513
1686880800,2023-06-16 02:00:00,1663.1241827896522,1658.7019974266352,50.71,7.959865859005548,-12440283.854926,1665.9288296815168
1686884400,2023-06-16 03:00:00,1665.9075712846513,1659.662740607704,53.28,7.615244713158672,-12233043.157813,1669.8990890030043
1686888000,2023-06-16 04:00:00,1665.9288296815168,1660.498219150879,53.3,7.35223208968414,-11808653.077403,1670.6864207140611
1686891600,2023-06-16 05:00:00,1669.8990890030043,1661.7516684644959,57.01,7.11225907534698,-11523336.185441,1669.4900561546556
1686895200,2023-06-16 06:00:00,1670.6864207140611,1662.9429687644379,57.73,6.724677656423314,-11397889.022367,1669.6941304581474
1686898800,2023-06-16 07:00:00,1669.4900561546556,1663.8159137498003,56.19,6.337114606155467,-11502703.580634,1669.410215153919
1686902400,2023-06-16 08:00:00,1669.6941304581474,1664.5996759775799,56.41,6.181205632980716,-11212951.133381,1668.5441440368988
1686906000,2023-06-16 09:00:00,1669.410215153919,1665.2410812010917,56,5.862504283705188,-11327275.655673,1662.4323658174046
1686909600,2023-06-16 10:00:00,1668.5441440368988,1665.6814895791993,54.7,5.688534169623351,-11555126.100029,1666.0052320005846
1686913200,2023-06-16 11:00:00,1662.4323658174046,1665.2482730776267,46.51,5.8628271657066,-12081523.564664999,1662.0847066342888
1686916800,2023-06-16 12:00:00,1666.0052320005846,1665.3492009340212,51.12,5.7715614376138165,-11853534.725506999,1669.8012544754072
1686920400,2023-06-16 13:00:00,1662.0847066342888,1664.9139350273902,46.4,5.9382540449657855,-12473604.357095,1679.034290726703
1686924000,2023-06-16 14:00:00,1669.8012544754072,1665.5655776204592,55.17,7.07139239773968,-10790825.188333,1683.1706577410646
1686927600,2023-06-16 15:00:00,1679.034290726703,1667.361406034625,62.98,7.720868391371734,-8409341.525516,1694.9817963117696
1686931200,2023-06-16 16:00:00,1683.1706577410646,1669.4693062621502,65.85,7.7239734757214515,-7462505.716306,1716.1746625126846
1686934800,2023-06-16 17:00:00,1694.9817963117696,1672.8709716020994,72.43,8.0988632765124,-5886829.864403,1719.0536667102278
1686938400,2023-06-16 18:00:00,1716.1746625126846,1678.644797056844,79.91,9.716285101594925,-3758532.305522,1725.397631012149
1686942000,2023-06-16 19:00:00,1719.0536667102278,1684.032646343962,80.67,9.534535524107035,-3319209.762084,1716.4066151596119
1686945600,2023-06-16 20:00:00,1725.397631012149,1689.5479776330535,82.28,9.4308557433513,-2789334.426407,1717.6442573455463
1686949200,2023-06-16 21:00:00,1716.4066151596119,1693.1291293032614,73.02,9.45826901059708,-3287361.68614,1716.0026846365179
1686952800,2023-06-16 22:00:00,1717.6442573455463,1696.3978130422327,73.47,8.87394351545469,-3143702.632159,1716.3372325031075
1686956400,2023-06-16 23:00:00,1716.0026846365179,1699.0117959214706,71.78,8.46274086400381,-3275702.75757,1713.3399675700107
1686960000,2023-06-17 00:00:00,1716.3372325031075,1701.3218541323556,71.93,8.026114539272802,-3069922.012648,1718.378733238717
1686963600,2023-06-17 01:00:00,1713.3399675700107,1702.9242692573762,68.62,7.753188349014861,-3371664.78149,1717.5066985405838
1686967200,2023-06-17 02:00:00,1718.378733238717,1704.9848644548883,71.03,7.607270978736046,-3172591.403197,1723.8519502690822
